

Starting up round 14:54:33
---------------------
[14:58:44]HREF: 14:58 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=show_preferences
[14:58:45]HREF: 14:58 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=observe
[14:58:45]HREF: 14:58 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=observe
[14:58:46]HREF: 14:58 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=observe
[14:58:56]HREF: 14:58 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join_xeno
[14:58:58]HREF: 14:58 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join_xeno
[14:59:01]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join
[14:59:07]HREF: 14:59 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=manifest
[14:59:08]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=manifest
[14:59:16]HREF: 14:59 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=late_join
[14:59:21]HREF: 14:59 NIKIGO (usr:NIKIGO) || NIKIGO src=[0x3000065];lobby_choice=SelectedJob;job_selected=Vehicle%20Crewman
[14:59:22]HREF: 14:59 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[14:59:25]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join
[14:59:34]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join
[14:59:42]HREF: 14:59 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[14:59:43]HREF: 14:59 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join_xeno
[14:59:45]HREF: 14:59 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:59:46]HREF: 14:59 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:59:46]HREF: 14:59 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:59:46]HREF: 14:59 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:59:47]HREF: 14:59 EngineerConager (usr:Dell Conrad) || EngineerConager src=[0x300006a];lobby_choice=ready
[14:59:51]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join_xeno
[14:59:52]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join_xeno
[14:59:53]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=late_join_xeno
[14:59:53]HREF: 14:59 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[14:59:54]HREF: 14:59 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[14:59:57]HREF: 14:59 Artyuom (usr:Johnny Vietnam) || Prison Guard src=[0x3000021];item=body
[14:59:57]HREF: 14:59 Sewa (usr:Sewa) || Sewa src=[0x300008a];lobby_choice=observe
[14:59:59]HREF: 14:59 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:00:04]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=late_join
[15:00:06]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=show_preferences
[15:00:08]HREF: 15:00 Das228 (usr:Das228) || Das228 src=[0x3000091];lobby_choice=show_preferences
[15:00:09]HREF: 15:00 Artyuom (usr:Johnny Vietnam) || Prison Guard src=[0x3000021];item=id
[15:00:20]HREF: 15:00 Artyuom (usr:Johnny Vietnam (as Prison Guard)) || Prison Guard src=[0x3000021];item=feet
[15:00:21]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
[15:00:23]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=show_preferences
[15:00:25]HREF: 15:00 Artyom Clark (usr:Artyom Clark) || Artyom Clark src=[0x300008e];lobby_choice=late_join
